FID,id,gna,nam,fna,línea,caa,progresiva,fuente,geom,long,lat
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_712a,214,Estación,Devoto,Estación Devoto,San Martín,SOFSE,14.989,Operador,POINT (-58.51280252858115 -34.602562072319586),-58.51280253,-34.60256207
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_712b,216,Estación,Santos Lugares,Estación Santos Lugares,San Martín,SOFSE,17.569,Operador,POINT (-58.54095912581803 -34.60368340287996),-58.54095913,-34.6036834
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_712c,217,Estación,Caseros,Estación Caseros,San Martín,SOFSE,19.739,Operador,POINT (-58.564524395996884 -34.60452236732519),-58.5645244,-34.60452237
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_712d,218,Estación,El Palomar,Estación El Palomar,San Martín,SOFSE,22.6,Operador,POINT (-58.596136806141324 -34.60494795524248),-58.59613681,-34.60494796
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_712e,219,Estación,Hurlingham,Estación Hurlingham,San Martín,SOFSE,26.384,Operador,POINT (-58.63237542823251 -34.59109537970391),-58.63237543,-34.59109538
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_712f,220,Estación,W. C. Morris,Estación W. C. Morris,San Martín,SOFSE,29,Operador,POINT (-58.656475161748986 -34.578519421756255),-58.65647516,-34.57851942
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7130,221,Estación,Bella Vista,Estación Bella Vista,San Martín,SOFSE,32.1,Operador,POINT (-58.684655929696845 -34.56380439193272),-58.68465593,-34.56380439
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7131,222,Estación,Muñiz,Estación Muñiz,San Martín,SOFSE,34.295,Operador,POINT (-58.70347294062662 -34.551250478127145),-58.70347294,-34.55125048
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7132,296,Estación,Lourdes,Estación Lourdes,Urquiza,Metrovías,8.844,Operador,POINT (-58.54700936737069 -34.59375347481692),-58.54700937,-34.59375347
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7133,574,Estación,Vivoratá,Estación Vivoratá,FFCC Roca,SOFSE,,,POINT (-57.66927163517829 -37.66379261574234),-57.66927164,-37.66379262
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7134,575,Estación,Coronel Vidal,Estación Coronel Vidal,FFCC Roca,SOFSE,,,POINT (-57.72853805952331 -37.45434219982414),-57.72853806,-37.4543422
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7135,223,Estación,San Miguel,Estación San Miguel,San Martín,SOFSE,35.608,Operador,POINT (-58.713243670410264 -34.54418336628516),-58.71324367,-34.54418337
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7136,224,Estación,Jose C. Paz,Estación Jose C. Paz,San Martín,SOFSE,39.955,Operador,POINT (-58.750876997907255 -34.51903604373895),-58.750877,-34.51903604
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7137,225,Estación,Pte. Derqui,Estación Pte. Derqui,San Martín,SOFSE,48.64,Operador,POINT (-58.83920252209604 -34.49079695441003),-58.83920252,-34.49079695
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7138,226,Estación,Villa Astolfi,Estación Villa Astolfi,San Martín,SOFSE,52.348,Operador,POINT (-58.87699197860994 -34.47871352782209),-58.87699198,-34.47871353
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7139,227,Estación,Pilar,Estación Pilar,San Martín,SOFSE,55.4,Operador,POINT (-58.908263558209946 -34.46863943074537),-58.90826356,-34.46863943
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_713a,228,Estación,Retiro,Estación Retiro,San Martín,SOFSE,0,Operador,POINT (-58.37351079974269 -34.58927432492359),-58.3735108,-34.58927432
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_713b,229,Estación,Lobos,Estación Lobos,Sarmiento,SOFSE,101.694,Operador,POINT (-59.09282787828979 -35.184771770090734),-59.09282788,-35.18477177
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_713c,230,Estación,Agustin Ferrari,Estación Agustin Ferrari,Sarmiento,SOFSE,37.95,Operador,POINT (-58.779427067415874 -34.706048533539715),-58.77942707,-34.70604853
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_713d,231,Estación,Mariano Acosta,Estación Mariano Acosta,Sarmiento,SOFSE,40.207,Operador,POINT (-58.79301413375676 -34.7243871811011),-58.79301413,-34.72438718
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_713e,232,Estación,Marcos Paz,Estación Marcos Paz,Sarmiento,SOFSE,47.9,Operador,POINT (-58.83658002566293 -34.783089490607615),-58.83658003,-34.78308949
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_713f,233,Estación,Zamudio,Estación Zamudio,Sarmiento,SOFSE,57.6,Operador,POINT (-58.8922228799743 -34.85788521353635),-58.89222288,-34.85788521
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7140,234,Estación,Hornos,Estación Hornos,Sarmiento,SOFSE,61.999,Operador,POINT (-58.91787815756516 -34.89232227169896),-58.91787816,-34.89232227
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7141,175,Estación,Lomas de Zamora,Estación Lomas de Zamora,Roca,SOFSE,15.055,Operador,POINT (-58.39755555555558 -34.760616666667),-58.39755556,-34.76061667
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7142,235,Estación,Las Heras,Estación Las Heras,Sarmiento,SOFSE,66.792,Operador,POINT (-58.94452439491405 -34.928053976854486),-58.94452439,-34.92805398
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7143,236,Estación,Speratti,Estación Speratti,Sarmiento,SOFSE,76.3,Operador,POINT (-58.999776097106555 -35.00201571047716),-58.9997761,-35.00201571
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7144,237,Estación,Zapiola,Estación Zapiola,Sarmiento,SOFSE,83.673,Operador,POINT (-59.04199588821927 -35.05842647995599),-59.04199589,-35.05842648
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7145,238,Cabín,Empalme Lobos,Cabín Empalme Lobos,Sarmiento,,90.6,,POINT (-59.08987045830999 -35.15113244868708),-59.08987046,-35.15113245
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7146,239,Estación,Manzanares,Estación Manzanares,San Martín,SOFSE,64.813,Operador,POINT (-59.00631408951003 -34.45183063934406),-59.00631409,-34.45183064
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7147,240,Estación,Dr. Cabred,Estación Dr. Cabred,San Martín,SOFSE,72.308,Operador,POINT (-59.0756950855756 -34.48789694137924),-59.07569509,-34.48789694
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7148,241,Empalme,Empalme Maldonado,Empalme Empalme Maldonado,Mitre,,4.6,,POINT (-58.413340654746754 -34.567577889531016),-58.41334065,-34.56757789
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7149,242,Empalme,Empalme Maldonado,Empalme Empalme Maldonado,Mitre,,4.6,,POINT (-58.413340654746925 -34.56757788953075),-58.41334065,-34.56757789
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_714a,244,Estación,Merlo,Estación Merlo,Sarmiento,SOFSE,30.488,Operador,POINT (-58.727799546762384 -34.66454748877668),-58.72779955,-34.66454749
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_714b,245,Estación,Moreno,Estación Moreno,Sarmiento,SOFSE,36.382,Operador,POINT (-58.789699236282 -34.650554096208914),-58.78969924,-34.6505541
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_714c,247,Estación,Darío Santillán y Maximiliano Kosteki,Estación Darío Santillán y Maximiliano Kosteki,Roca,SOFSE,3.829,Operador,POINT (-58.376497222222234 -34.661958333333445),-58.37649722,-34.66195833
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_714d,250,Empalme,Empalme Maldonado,Empalme Empalme Maldonado,Mitre,,4.6,,POINT (-58.413340654746705 -34.56757788953096),-58.41334065,-34.56757789
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_714e,258,Estación,Agustín De Elía,Estación Agustín De Elía,Roca,SOFSE,28.922,Operador,POINT (-58.50607911920097 -34.70978166544358),-58.50607912,-34.70978167
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_714f,259,Estación,Carapachay,Estación Carapachay,Belgrano Norte,Ferrovías,17.82,Operador,POINT (-58.537383647784296 -34.528790061348325),-58.53738365,-34.52879006
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7150,260,Estación,Ing. P. Nogués,Estación Ing. P. Nogués,Belgrano Norte,Ferrovías,34.431,Operador,POINT (-58.706274721480085 -34.493778601541266),-58.70627472,-34.4937786
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7151,261,Estación,Grand Bourg,Estación Grand Bourg,Belgrano Norte,Ferrovías,36.435,Operador,POINT (-58.72514557003455 -34.485484528907435),-58.72514557,-34.48548453
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7152,262,Estación,Tierras Altas,Estación Tierras Altas,Belgrano Norte,Ferrovías,38,Operador,POINT (-58.73947067714764 -34.478986476034805),-58.73947068,-34.47898648
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7153,263,Estación,M. Alberti,Estación M. Alberti,Belgrano Norte,Ferrovías,41.735,Operador,POINT (-58.77566316985275 -34.462812667820295),-58.77566317,-34.46281267
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7154,264,Estación,Ciudad Universitaria,Estación Ciudad Universitaria,Belgrano Norte,Ferrovías,8.6,Operador,POINT (-58.4479164619892 -34.54298189785647),-58.44791646,-34.5429819
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7155,265,Estación,Retiro,Estación Retiro,Belgrano Norte,Ferrovías,0,Operador,POINT (-58.37419112043321 -34.590139207151225),-58.37419112,-34.59013921
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7156,266,Estación,M. M. Padilla,Estación M. M. Padilla,Belgrano Norte,Ferrovías,14.043,Operador,POINT (-58.50062172905402 -34.543454678448235),-58.50062173,-34.54345468
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7157,267,Estación,Florida,Estación Florida,Belgrano Norte,Ferrovías,15.349,Operador,POINT (-58.51314331103174 -34.537088650600126),-58.51314331,-34.53708865
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7158,268,Estación,Munro,Estación Munro,Belgrano Norte,Ferrovías,16.504,Operador,POINT (-58.52362401234933 -34.53178278509638),-58.52362401,-34.53178279
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7159,269,Estación,Villa Adelina,Estación Villa Adelina,Belgrano Norte,Ferrovías,18.832,Operador,POINT (-58.54622887607259 -34.523723207927794),-58.54622888,-34.52372321
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_715a,270,Estación,Bulogne Sur Mer,Estación Bulogne Sur Mer,Belgrano Norte,Ferrovías,21.259,Operador,POINT (-58.565551123271675 -34.508471071081175),-58.56555112,-34.50847107
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_715b,271,Estación,Vice alte E. Montes,Estación Vice alte E. Montes,Belgrano Norte,Ferrovías,26.313,Operador,POINT (-58.62006804528918 -34.50411161628722),-58.62006805,-34.50411162
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_715c,272,Estación,Don Torcuato,Estación Don Torcuato,Belgrano Norte,Ferrovías,28.339,Operador,POINT (-58.641898958158805 -34.502672999999874),-58.64189896,-34.502673
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_715d,273,Estación,A. Sourdeaux,Estación A. Sourdeaux,Belgrano Norte,Ferrovías,30.679,Operador,POINT (-58.666271966144315 -34.502962265491036),-58.66627197,-34.50296227
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_715e,274,Estación,Villa de Mayo,Estación Villa de Mayo,Belgrano Norte,Ferrovías,31.906,Operador,POINT (-58.680724184874556 -34.503355884542714),-58.68072418,-34.50335588
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_715f,275,Estación,Los Polvorines,Estación Los Polvorines,Belgrano Norte,Ferrovías,33.294,Operador,POINT (-58.69460879101456 -34.49898362954879),-58.69460879,-34.49898363
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7160,276,Estación,Tortuguitas,Estación Tortuguitas,Belgrano Norte,Ferrovías,39.897,Operador,POINT (-58.75799095027797 -34.470730817270955),-58.75799095,-34.47073082
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7161,277,Estación,Villa Rosa,Estación Villa Rosa,Belgrano Norte,Ferrovías,51.944,Operador,POINT (-58.87153679181568 -34.41657424493533),-58.87153679,-34.41657424
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7162,278,Estación,Del Viso,Estación Del Viso,Belgrano Norte,Ferrovías,43.888,Operador,POINT (-58.796213684391034 -34.4536478349292),-58.79621368,-34.45364783
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7163,279,Estación,A. del Valle,Estación A. del Valle,Belgrano Norte,Ferrovías,11.709,Operador,POINT (-58.47790050675024 -34.53741547272999),-58.47790051,-34.53741547
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7164,280,Estación,Ej. de los Andes,Estación Ej. de los Andes,Urquiza,Metrovías,17.946,Operador,POINT (-58.64039136604654 -34.57987247582108),-58.64039137,-34.57987248
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7165,281,Estación,J.B. de La Salle,Estación J.B. de La Salle,Urquiza,Metrovías,18.794,Operador,POINT (-58.645291666666644 -34.57352777777796),-58.64529167,-34.57352778
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7166,282,Estación,Sgto. Barrufaldi,Estación Sgto. Barrufaldi,Urquiza,Metrovías,20.599,Operador,POINT (-58.658961111111104 -34.56321944444463),-58.65896111,-34.56321944
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7167,283,Estación,Cap. Lozano,Estación Cap. Lozano,Urquiza,Metrovías,21.787,Operador,POINT (-58.66958888888889 -34.55547500000017),-58.66958889,-34.555475
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7168,284,Estación,Tte. Agneta,Estación Tte. Agneta,Urquiza,Metrovías,22.874,Operador,POINT (-58.678672222222204 -34.54890277777797),-58.67867222,-34.54890278
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7169,285,Estación,Cpo. de Mayo,Estación Cpo. de Mayo,Urquiza,Metrovías,23.805,Operador,POINT (-58.686099999999975 -34.54350833333351),-58.6861,-34.54350833
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_716a,286,Estación,Sto. Cabral,Estación Sto. Cabral,Urquiza,Metrovías,24.93,Operador,POINT (-58.69523055555553 -34.53693055555574),-58.69523056,-34.53693056
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_716b,287,Estación,General Lemos,Estación General Lemos,Urquiza,Metrovías,25.612,Operador,POINT (-58.7008972222222 -34.53284722222241),-58.70089722,-34.53284722
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_716c,288,Estación,Federico Lacroze,Estación Federico Lacroze,Urquiza,Metrovías,0,Operador,POINT (-58.45555225474584 -34.586817452686354),-58.45555225,-34.58681745
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_716d,289,Estación,Artigas,Estación Artigas,Urquiza,Metrovías,1.292,Operador,POINT (-58.46634003142914 -34.59008590418931),-58.46634003,-34.5900859
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_716e,290,Estación,Arata,Estación Arata,Urquiza,Metrovías,2.304,Operador,POINT (-58.47538679123275 -34.59242383012092),-58.47538679,-34.59242383
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_716f,291,Estación,Fco. Beiró,Estación Fco. Beiró,Urquiza,Metrovías,3.919,Operador,POINT (-58.49423140270488 -34.593138436627086),-58.4942314,-34.59313844
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7170,292,Estación,A. Devoto,Estación A. Devoto,Urquiza,Metrovías,5.449,Operador,POINT (-58.51069392491965 -34.595619090659454),-58.51069392,-34.59561909
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7171,293,Estación,Coronel F. Lynch,Estación Coronel F. Lynch,Urquiza,Metrovías,6.741,Operador,POINT (-58.52445027909911 -34.59719768868005),-58.52445028,-34.59719769
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7172,294,Estación,F. Moreno,Estación F. Moreno,Urquiza,Metrovías,7.758,Operador,POINT (-58.53535695633232 -34.595557586840464),-58.53535696,-34.59555759
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7173,295,Estación,Tropezón,Estación Tropezón,Urquiza,Metrovías,9.998,Operador,POINT (-58.559279379258044 -34.591846856428404),-58.55927938,-34.59184686
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7174,297,Estación,J. M. Bosch,Estación J. M. Bosch,Urquiza,Metrovías,11.167,Operador,POINT (-58.571841534285575 -34.59001711781362),-58.57184153,-34.59001712
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7175,298,Estación,M. Coronado,Estación M. Coronado,Urquiza,Metrovías,12.908,Operador,POINT (-58.59076933457795 -34.58895617693616),-58.59076933,-34.58895618
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7176,299,Estación,P. Podestá,Estación P. Podestá,Urquiza,Metrovías,14.394,Operador,POINT (-58.607498373341656 -34.58837189065581),-58.60749837,-34.58837189
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7177,300,Estación,R. Darío,Estación R. Darío,Urquiza,Metrovías,16.467,Operador,POINT (-58.62984051591892 -34.58752557373545),-58.62984052,-34.58752557
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7178,301,Estación,J. Newbery,Estación J. Newbery,Urquiza,Metrovías,15.66,Operador,POINT (-58.6217714020477 -34.587819869490346),-58.6217714,-34.58781987
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7179,302,Estación,El Libertador,Estación El Libertador,Urquiza,Metrovías,4.7,Operador,POINT (-58.502985446273634 -34.59440951555276),-58.50298545,-34.59440952
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_717a,303,Estación,Saldías,Estación Saldías,Belgrano Norte,Ferrovías,2.8,ADIF,POINT (-58.39949772967556 -34.57555697179727),-58.39949773,-34.57555697
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_717b,304,Apeadero,Km. 83,Apeadero Km. 83,Mitre,SOFSE,83,ADIF,POINT (-58.97715525566073 -34.1602203302364),-58.97715526,-34.16022033
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_717c,305,Estación,"Km. 34,5","Estación Km. 34,5",Sarmiento,SOFSE,34.5,ADIF,POINT (-58.76017414059667 -34.68006704963488),-58.76017414,-34.68006705
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_717d,306,Estación,Pereyra,Estación Pereyra,Roca,SOFSE,37,ADIF,POINT (-58.09487222222225 -34.83656111111118),-58.09487222,-34.83656111
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_717e,309,Estación,Victoria,Estación Victoria,Mitre,SOFSE,22.715,,POINT (-58.5409744681114 -34.45617662382787),-58.54097447,-34.45617662
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_717f,310,Estación,Retiro,Estación Retiro,Mitre,SOFSE,0,,POINT (-58.37508888888889 -34.59084722222222),-58.37508889,-34.59084722
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7180,311,Estación,Miguelete,Estación Miguelete,Mitre,SOFSE,,,POINT (-58.51701077279242 -34.58107245810993),-58.51701077,-34.58107246
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7181,312,Estación,Turner,Estación Turner,,,,,POINT (-58.474315 -34.733658),-58.474315,-34.733658
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7182,313,,Policlinico,,Roca,,,,POINT (-57.92144461040665 -34.925348336699365),-57.92144461,-34.92534834
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7183,314,Apeadero,Diagonal 73,Apeadero Diagonal 73,Roca,,,,POINT (-57.91907044524521 -34.92017156325334),-57.91907045,-34.92017156
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7184,315,Apeadero,Periodismo,Apeadero Periodismo,Roca,,,,POINT (-57.924265358476084 -34.912100510629145),-57.92426536,-34.91210051
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7185,316,,Medicina,,Roca,,,,POINT (-57.92779573818222 -34.90904179005445),-57.92779574,-34.90904179
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7186,317,Apeadero, Informatica,Apeadero  Informatica,Roca,,,,POINT (-57.93776697437849 -34.903309240654735),-57.93776697,-34.90330924
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7187,318,Apeadero,Arquitectura,Apeadero Arquitectura,Roca,,,,POINT (-57.94311237934971 -34.904967224998586),-57.94311238,-34.90496722
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7188,320,Estación,Monte,Estación Monte,Roca,,,,POINT (-58.81768573693111 -35.43673053664882),-58.81768574,-35.43673054
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7189,321,Estación,Abbot,Estación Abbot,Roca,,,,POINT (-58.80282610764191 -35.281311348813276),-58.80282611,-35.28131135
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_718a,322,Estación,La Noria,Estación La Noria,Roca,,,,POINT (-58.788245094642114 -35.16525428647448),-58.78824509,-35.16525429
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_718b,323,Estación,Gral. Alvear,Estación Gral. Alvear,Roca,,,,POINT (-60.02236196703043 -36.01870501240863),-60.02236197,-36.01870501
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_718c,324,Estación,J.M. Micheo,Estación J.M. Micheo,Roca,,,,POINT (-59.94606543520612 -35.88106060120183),-59.94606544,-35.8810606
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_718d,325,Estación,La Barracosa,Estación La Barracosa,Roca,,,,POINT (-59.86860016685917 -35.73785254265181),-59.86860017,-35.73785254
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_718e,326,Estación,Saladillo,Estación Saladillo,Roca,,,,POINT (-59.78388443410276 -35.63545154238694),-59.78388443,-35.63545154
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_718f,327,Estación,Cazon,Estación Cazon,Roca,,,,POINT (-59.661564700767904 -35.57692979560921),-59.6615647,-35.5769298
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7190,328,Estación,Del Carril,Estación Del Carril,Roca,,,,POINT (-59.51134778484139 -35.51012982049195),-59.51134778,-35.51012982
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7191,329,,R. Perez,,,,,,POINT (-59.334259824636746 -35.40346456560742),-59.33425982,-35.40346457
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7192,330,Estación,Uribelarrea,Estación Uribelarrea,Roca,,,,POINT (-58.89844562638883 -35.11543433848594),-58.89844563,-35.11543434
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7193,332,Estación,Salvador Maria,Estación Salvador Maria,Roca,,,,POINT (-59.16595104722372 -35.30205454072711),-59.16595105,-35.30205454
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7194,333,Estación,20 de Junio,Estación 20 de Junio,Belgrano Sur,SOFSE,,,POINT (-58.738013045172124 -34.78036512479092),-58.73801305,-34.78036512
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7195,334,Estación,Marcos Páz,Estación Marcos Páz,Belgrano Sur,SOFSE,,,POINT (-58.82978016075136 -34.78667583803332),-58.82978016,-34.78667584
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7196,527,Estación,Once,Estación Once,FFCC Sarmiento,SOFSE,,,POINT (-58.407556699367966 -34.60822931474136),-58.4075567,-34.60822931
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7197,537,Estación,Plaza Constitución,Estación Plaza Constitución,FFCC Roca,SOFSE,,,POINT (-58.38035833333333 -34.62900833333333),-58.38035833,-34.62900833
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7198,522,Estación,Mechita,Estación Mechita,FFCC Sarmiento,SOFSE,,,POINT (-60.40692032572804 -35.06615028388234),-60.40692033,-35.06615028
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7199,526,Estación,Luján,Estación Luján,FFCC Sarmiento,SOFSE,,,POINT (-59.103991095911 -34.57735573859549),-59.1039911,-34.57735574
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_719a,530,Estación,Las Flores,Estación Las Flores,FFCC Roca no operativo,SOFSE,,,POINT (-59.09650630507199 -36.02581713302685),-59.09650631,-36.02581713
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_719b,531,Estación,Cachari,Estación Cachari,FFCC Roca no operativo,SOFSE,,,POINT (-59.50731388888889 -36.37334722222222),-59.50731389,-36.37334722
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_719c,532,Estación,Azul,Estación Azul,FFCC Roca no operativo,SOFSE,,,POINT (-59.85286252087249 -36.78578560017885),-59.85286252,-36.7857856
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_719d,533,Estación,Monte,Estación Monte,FFCC Roca no operativo,SOFSE,,,POINT (-58.81758055555556 -35.43666111111111),-58.81758056,-35.43666111
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_719e,547,Estación,Bell Ville,Estación Bell Ville,FFCC Mitre,SOFSE,,,POINT (-62.6938545725899 -32.61204809167934),-62.69385457,-32.61204809
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_719f,548,Estación,Villa María,Estación Villa María,FFCC Mitre,SOFSE,,,POINT (-63.24504994858328 -32.41270478935284),-63.24504995,-32.41270479
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_71a0,549,Estación,Cañada de Gomez,Estación Cañada de Gomez,FFCC Mitre,SOFSE,,,POINT (-61.39415622683344 -32.82246624931319),-61.39415623,-32.82246625
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_71a1,550,Estación,Baradero,Estación Baradero,FFCC Mitre,SOFSE,,,POINT (-59.51718267485266 -33.81983129898119),-59.51718267,-33.8198313
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_71a2,551,Estación,San Pedro,Estación San Pedro,FFCC Mitre,SOFSE,,,POINT (-59.68289995418397 -33.6943623247484),-59.68289995,-33.69436232
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_71a3,552,Estación,San Nicolás,Estación San Nicolás,FFCC Mitre,SOFSE,,,POINT (-60.22615726198612 -33.34440597360288),-60.22615726,-33.34440597
