FID,id,gna,nam,fna,línea,caa,progresiva,fuente,geom,long,lat
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70d8,184,Estación,Ezpeleta,Estación Ezpeleta,Roca,SOFSE,21.23,Operador,POINT (-58.23431944444448 -34.75188333333339),-58.23431944,-34.75188333
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70d9,185,Estación,Berazategui,Estación Berazategui,Roca,SOFSE,23.799,Operador,POINT (-58.208822222222246 -34.764030555555614),-58.20882222,-34.76403056
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70da,188,Estación,Gerli,Estación Gerli,Roca,SOFSE,6.563,Operador,POINT (-58.38277500000002 -34.68593333333367),-58.382775,-34.68593333
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70db,190,Estación,Remedios de Escalada,Estación Remedios de Escalada,Roca,SOFSE,11.231,Operador,POINT (-58.393602777777815 -34.726802777777685),-58.39360278,-34.72680278
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70dc,192,Estación,Cañuelas,Estación Cañuelas,Roca,SOFSE,64.094,Operador,POINT (-58.754505555555845 -35.05933611111109),-58.75450556,-35.05933611
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70dd,193,Estación,Pte. Alsina,Estación Pte. Alsina,Belgrano Sur,SOFSE,0,Operador,POINT (-58.415695357101086 -34.66110645355578),-58.41569536,-34.66110645
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70de,194,Estación,V. Diamante,Estación V. Diamante,Belgrano Sur,SOFSE,2.733,Operador,POINT (-58.428406287191706 -34.68127145470298),-58.42840629,-34.68127145
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70df,195,Estación,Caraza,Estación Caraza,Belgrano Sur,SOFSE,4.644,Operador,POINT (-58.42923065107207 -34.698037711725114),-58.42923065,-34.69803771
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70e0,196,Estación,Fiorito,Estación Fiorito,Belgrano Sur,SOFSE,5.997,Operador,POINT (-58.44096375527864 -34.70539455168594),-58.44096376,-34.70539455
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70e1,197,Estación,Ing. Budge,Estación Ing. Budge,Belgrano Sur,SOFSE,8.419,Operador,POINT (-58.46263860012658 -34.71898116117914),-58.4626386,-34.71898116
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70e2,198,Estación,La Salada,Estación La Salada,Belgrano Sur,SOFSE,10.2,Operador,POINT (-58.47969289200779 -34.7179746332036),-58.47969289,-34.71797463
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70e3,199,Estación,Km. 12,Estación Km. 12,Belgrano Sur,SOFSE,,Operador,POINT (-58.50600872511196 -34.70996824272464),-58.50600873,-34.70996824
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70e4,200,Estación,Aldo Bonzi,Estación Aldo Bonzi,Belgrano Sur,SOFSE,13.543,Operador,POINT (-58.51438929275727 -34.71076574782167),-58.51438929,-34.71076575
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70e5,201,Estación,M. S. de Mendeville,Estación M. S. de Mendeville,Belgrano Sur,SOFSE,14.438,Operador,POINT (-58.52454505599225 -34.71237228919958),-58.52454506,-34.71237229
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70e6,186,,Hipólito Yrigoyen, Hipólito Yrigoyen,,SOFSE,2.825,Operador,POINT (-58.378716666666676 -34.65357222222218),-58.37871667,-34.65357222
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70e7,133,Estación,Ing. Dante Ardigó,Estación Ing. Dante Ardigó,Roca,SOFSE,26.7,Operador,POINT (-58.302718226309125 -34.80891109256752),-58.30271823,-34.80891109
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70e8,134,Estación,Florencio Varela,Estación Florencio Varela,Roca,SOFSE,29.373,Operador,POINT (-58.27469412822163 -34.811010096139555),-58.27469413,-34.8110101
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70e9,135,Estación,Estanislao Zeballos,Estación Estanislao Zeballos,Roca,SOFSE,30.92,Operador,POINT (-58.25665559152873 -34.8109786306096),-58.25665559,-34.81097863
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70ea,140,Estación,Claypole,Estación Claypole,Roca,SOFSE,23.35,Operador,POINT (-58.33790536986354 -34.801128831799886),-58.33790537,-34.80112883
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70eb,171,Estación,Temperley,Estación Temperley,Roca,SOFSE,16.705,Operador,POINT (-58.39668015826608 -34.77571433878067),-58.39668016,-34.77571434
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70ec,6,Estación,José Leon Suarez,Estación José Leon Suarez,Mitre,SOFSE,22.523,Operador,POINT (-58.57566689916364 -34.53499652284081),-58.5756669,-34.53499652
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70ed,7,Estación,Dr. L. M. Drago,Estación Dr. L. M. Drago,Mitre,SOFSE,10.966,Operador,POINT (-58.47892239679345 -34.568359442560876),-58.4789224,-34.56835944
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70ee,50,Cabín,M. J. Haedo Cabina Oeste,Cabín M. J. Haedo Cabina Oeste,Sarmiento,,,,POINT (-58.61162461279194 -34.64710936210335),-58.61162461,-34.64710936
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70ef,58,Estación,San Antonio de Padua,Estación San Antonio de Padua,Sarmiento,SOFSE,27.803,Operador,POINT (-58.69888368028017 -34.66550559372223),-58.69888368,-34.66550559
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70f0,62,Estación,Paso del Rey,Estación Paso del Rey,Sarmiento,SOFSE,33.718,Operador,POINT (-58.76201868211097 -34.65825775946924),-58.76201868,-34.65825776
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70f1,41,Estación,Floresta,Estación Floresta,Sarmiento,SOFSE,7.297,Operador,POINT (-58.48092448944513 -34.63242220227313),-58.48092449,-34.6324222
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70f2,56,Estación,Ituzaingó,Estación Ituzaingó,Sarmiento,SOFSE,24.755,Operador,POINT (-58.66689546660633 -34.659807620372085),-58.66689547,-34.65980762
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70f3,68,Estación,Francisco Álvarez,Estación Francisco Álvarez,Sarmiento,SOFSE,42.995,Operador,POINT (-58.85529610488141 -34.63223414327694),-58.8552961,-34.63223414
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70f4,4,Estación,Malaver,Estación Malaver,Mitre,SOFSE,18.841,Operador,POINT (-58.54785353420419 -34.557435308928376),-58.54785353,-34.55743531
